measurement,timestamp,sensors/Cond,sensors/DOpct,sensors/Sal,sensors/Temp,sensors/Turb,sensors/pH
Alan,9/23/2022,658.04,41.56,0.36,20.05,124.7,7.22
Alan,9/24/2022,643.42,51.36,0.36,18.36,147.14,7.3
Alan,9/25/2022,648.11,47.71,0.37,18.2,143.66,7.29
Alan,9/26/2022,632.13,46.7,0.36,18.13,156.85,7.28
Alan,9/27/2022,646.3,49,0.36,18.52,150.88,7.29
Alan,9/28/2022,637.65,55.11,0.36,18.03,130.62,7.33
Alan,9/29/2022,642.27,59.62,0.36,18.07,124.38,7.34
Alan,9/30/2022,647.04,63.35,0.37,17.54,102.45,7.38
Alan,10/1/2022,642.62,59.76,0.37,17.1,82.8,7.36
Alan,10/2/2022,630.02,57.57,0.37,16.64,75.8,7.36
Alan,10/3/2022,612.98,58.36,0.37,15.19,72.33,7.39
Alan,10/4/2022,542.33,59.92,0.34,13.76,65.5,7.38
Alan,10/5/2022,530.67,51.41,0.33,13.75,63.53,7.33
Alan,10/6/2022,524.05,43.76,0.32,14.09,64.2,7.25
Alan,10/7/2022,520,49.99,0.32,14.85,60.64,7.16
Alan,10/8/2022,478.17,71.44,0.29,15.46,57.97,7.28
Alan,10/9/2022,485.35,79.45,0.29,14.7,56.02,7.39
Alan,10/10/2022,504.69,81.38,0.31,14.58,52.78,7.41
Alan,10/11/2022,510.87,83.21,0.31,14.53,57.21,7.41
Alan,10/12/2022,517.14,87.8,0.31,14.69,53.36,7.44
Alan,10/13/2022,524.86,97.02,0.32,15.2,52.37,7.47
Alan,10/14/2022,460.35,103.01,0.28,15.36,53.02,7.47
Alan,10/15/2022,469.38,93.42,0.28,15.15,53.08,7.41
Alan,10/16/2022,498.86,92.11,0.3,15.13,54.37,7.47
Alan,10/17/2022,497.12,94.11,0.3,14.84,55.32,7.47
Alan,10/18/2022,472.15,86.46,0.29,14.83,55.34,7.35
Alan,10/19/2022,479.72,86.88,0.3,14.03,57.2,7.4
Alan,10/20/2022,475.24,84.88,0.3,13.12,60.92,7.4
Alan,10/21/2022,473.13,82.82,0.3,12.48,63.86,7.39
Alan,10/22/2022,474.68,83.4,0.31,12.21,70.16,7.4
Alan,10/23/2022,494.29,81.16,0.32,12.58,75.26,7.33
Alan,10/24/2022,503.77,84.62,0.32,12.86,74.03,7.35
Alan,10/25/2022,522.09,80.27,0.33,13.26,76.8,7.29
Alan,10/26/2022,546.74,63.3,0.34,13.77,74.44,7.13
Alan,10/27/2022,553.85,64.27,0.34,14.61,70.44,7.14
Alan,10/28/2022,508.51,76.36,0.31,14.05,68.24,7.28
Alan,10/29/2022,493.27,68.51,0.32,12.79,68.69,7.28
Alan,10/30/2022,485.48,60.44,0.32,12.07,70.14,7.24
Alan,10/31/2022,486.72,61,0.32,11.8,71.52,7.23
Alan,11/1/2022,497.81,57.42,0.32,12.08,73.85,7.19
Alan,11/2/2022,520.11,48.36,0.33,12.5,64.97,7.05
Alan,11/3/2022,531.93,75.26,0.34,12.96,12.73,7.35
Alan,11/4/2022,528.83,77.34,0.34,12.7,14.64,7.38
Alan,11/5/2022,539.53,84.01,0.34,13.14,15.29,7.39
Alan,11/6/2022,554.63,88.55,0.35,13.84,15.52,7.38
Alan,11/7/2022,584.03,79.17,0.36,14.57,17.82,7.27
Alan,11/8/2022,575.44,80.46,0.35,14.45,19.36,7.37
Alan,11/9/2022,540,66.94,0.35,12.59,22.88,7.36
Alan,11/10/2022,527.71,60.96,0.35,11.7,27.92,7.35
Alan,11/11/2022,537.33,60.03,0.35,12.09,25.42,7.33
Alan,11/12/2022,550.91,59.08,0.36,12.48,31.88,7.29
Alan,11/13/2022,562.11,50.61,0.36,13.15,40.64,7.21
Alan,11/14/2022,489.42,52.36,0.32,11.5,38.22,7.26
Alan,11/15/2022,470.69,48.81,0.33,9.63,36.41,7.28
Alan,11/16/2022,466.6,52.46,0.33,9.35,34.53,7.33
Alan,11/22/2022,421.48,80.25,0.33,5.25,1.72,7.57
Alan,11/23/2022,424.88,76.98,0.34,4.71,2.46,7.5
Alan,11/24/2022,423.76,78.01,0.34,4.6,2.71,7.52
Alan,11/25/2022,431.01,80.68,0.34,5.13,2.47,7.53
Alan,11/26/2022,443.43,76.48,0.35,5.21,2.82,7.46
Alan,11/27/2022,447.16,81.01,0.35,5.45,2.36,7.51
Alan,11/28/2022,447.16,83.52,0.35,5.81,1.94,7.54
Alan,11/29/2022,439.47,83.89,0.34,5.79,1.96,7.52
Alan,11/30/2022,432.66,86.22,0.34,5.42,2.1,7.54
Alan,12/1/2022,416.57,81.91,0.32,5.75,3.04,7.49
Alan,12/2/2022,404.58,82.85,0.32,4.8,2.33,7.51
Alan,12/3/2022,406.22,88.48,0.32,5.2,2.79,7.55
Alan,12/4/2022,403.87,82.91,0.32,5.32,2.68,7.48
Alan,12/5/2022,399.45,82.86,0.32,4.79,3.09,7.49
Alan,12/6/2022,397.14,89.55,0.32,4.64,2.66,7.55
Alan,12/7/2022,405.94,90.93,0.31,5.69,2.78,7.56
Alan,12/8/2022,411.19,90.15,0.31,5.99,2.85,7.53
Alan,12/9/2022,414.89,88.95,0.31,6.37,3.9,7.45
Alan,12/10/2022,381.69,84.47,0.3,5.07,5.51,7.42
Alan,12/11/2022,374.26,89.11,0.3,4.48,4.9,7.52
Alan,12/12/2022,386.3,87.93,0.31,4.52,4.6,7.49
Alan,12/13/2022,386.79,82.98,0.31,3.98,4.46,7.47
Alan,12/14/2022,387.08,85.51,0.31,4.03,3.8,7.51
Alan,12/15/2022,392.44,91.16,0.32,4.15,3.75,7.52
Alan,12/16/2022,426.92,92.1,0.34,4.22,6.06,7.45
Alan,12/17/2022,402.77,93.43,0.32,4.52,4.68,7.49
Alan,12/18/2022,405.46,91.51,0.32,4.93,4.3,7.41
Alan,12/19/2022,395.15,94.41,0.32,4.42,7.21,7.39
Alan,12/20/2022,396.58,100.26,0.32,4.3,5.64,7.46
Alan,12/21/2022,403.83,101.03,0.32,4.43,5.77,7.44
Alan,12/22/2022,407.47,105.48,0.33,4.3,5.68,7.45
Alan,12/23/2022,350.18,97.01,0.27,5.22,11.42,7.39
Alan,12/24/2022,263.32,83.32,0.22,3.13,19.94,7.24
Alan,12/25/2022,314.18,81.7,0.26,2.5,25.87,7.19
Alan,12/26/2022,328.4,81.07,0.27,2.93,25.28,7.16
Alan,12/27/2022,344.56,85,0.28,3.48,20.55,7.21
Alan,12/28/2022,361.08,87.67,0.29,3.97,21.88,7.27
Alan,12/29/2022,370.59,91.07,0.3,4.41,23.72,7.28
Alan,12/30/2022,381.79,92.13,0.3,4.87,24.13,7.27
Alan,12/31/2022,385.44,82.96,0.3,5.15,20.4,7.18
Alan,1/1/2023,410.31,83.51,0.32,5.74,23.57,7.2
Alan,1/2/2023,403.83,80.73,0.31,5.82,29.45,7.14
Alan,1/3/2023,421.56,85.8,0.32,6.31,30.88,7.17
Alan,1/4/2023,429.44,85.29,0.32,6.67,29.83,7.15
Alan,1/5/2023,441.63,89.17,0.33,7.24,29.22,7.14
Alan,1/6/2023,470.23,86.44,0.34,7.91,23.77,7.09
Alan,1/7/2023,434.97,85.28,0.32,7.33,17.63,7.16
Alan,1/8/2023,414.69,90.92,0.32,5.76,19.47,7.26
Alan,1/9/2023,418.2,92.24,0.33,5.29,21.45,7.3
Alan,1/10/2023,425.61,97.42,0.33,5.06,23.25,7.33
Alan,1/11/2023,431.95,99.56,0.34,4.99,22.67,7.35
Alan,1/12/2023,440.5,103.47,0.35,5.04,21.08,7.37
Alan,1/13/2023,434.77,105.58,0.34,5.61,19.55,7.44
Alan,1/14/2023,442.31,98.51,0.34,5.53,16.47,7.41
Alan,1/15/2023,437.9,94.93,0.35,4.33,13.71,7.48
Alan,1/16/2023,439.26,97.4,0.36,3.7,10.4,7.55
Alan,1/17/2023,456.82,100.88,0.37,4.12,7.26,7.49
Alan,1/18/2023,456.03,105.65,0.37,4.36,7.59,7.54
Alan,1/19/2023,459.86,103.11,0.37,4.7,7.66,7.57
Alan,1/20/2023,451.21,108.12,0.36,4.82,7.67,7.64
Alan,1/21/2023,448.4,112.93,0.35,5.25,2.84,7.64
Alan,1/22/2023,428.42,104.88,0.34,5.26,2.23,7.5
Alan,1/23/2023,428.68,108.11,0.33,5.44,2.48,7.54
Alan,1/24/2023,381.35,104.81,0.3,4.78,2.87,7.57
Alan,1/25/2023,393.21,98.36,0.31,4.84,3.03,7.43
Alan,1/26/2023,341.08,100.84,0.27,5.01,6.42,7.53
Alan,1/27/2023,358.31,91.59,0.28,5.6,3.45,7.33
Alan,1/28/2023,350.02,87.97,0.27,5.43,4.39,7.27
Alan,1/29/2023,371.82,92.71,0.28,6.07,3.96,7.28
Alan,1/30/2023,380.38,96.45,0.29,6.06,3.09,7.3
Alan,1/31/2023,386.91,107.86,0.29,6.29,2.88,7.43
Alan,2/1/2023,387.39,97.92,0.3,5.41,4.19,7.36
Alan,2/2/2023,393.28,101.28,0.31,4.84,5.12,7.37
Alan,2/3/2023,382.81,102.94,0.31,4.09,3.38,7.48
